_id,city,coord.lon,coord.lat,weather[0].id,weather[1].id,weather[0].main,weather[1].main,weather[0].description,weather[1].description,weather[0].icon,weather[1].icon,base,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,visibility,wind.speed,wind.deg,clouds.all,dt,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,timezone,id,name,cod,wind.gust,rain.1h
673f420f644efe42f45e076b,,94.1167,25.6667,804,,Clouds,,overcast clouds,,04d,,stations,21.43,22.08,21.43,21.43,1014,94,1014,856,10000,0.51,307,90,1732175971,1,9125,IN,1732147548,1732186403,19800,1266366,Kohima,200,0.68,
673f420f644efe42f45e076c,,92.7167,23.7333,721,,Haze,,haze,,50d,,stations,22.89,23.17,22.89,22.89,1011,74,1011,946,4000,1.54,270,75,1732175972,1,9122,IN,1732147681,1732186942,19800,1279186,Aizawl,200,,
673f420f644efe42f45e076d,,91.275,23.8364,800,,Clear,,clear sky,,01d,,stations,29.01,28.8,29.01,29.01,1011,42,1011,1008,6000,2.06,220,0,1732175972,1,9107,IN,1732148038,1732187277,19800,1279290,Agartala,200,,
673f420f644efe42f45e076e,,93.95,24.8167,803,,Clouds,,broken clouds,,04d,,stations,21.95,22.5,21.95,21.95,1011,88,1011,909,6000,1.03,330,75,1732175857,1,9119,IN,1732147498,1732186533,19800,1269771,Imphal,200,,
673f420f644efe42f45e076f,,73.8333,15.4833,721,,Haze,,haze,,50d,,stations,32,32.84,32,32,1010,43,1010,1010,5000,3.6,100,27,1732175973,1,9233,IN,1732151409,1732192280,19800,1260607,Panjim,200,,
673f420f644efe42f45e0770,,77.1667,31.1,800,,Clear,,clear sky,,01d,,stations,14.09,12.36,14.09,14.09,1015,31,1015,851,10000,2.81,262,0,1732175974,,,IN,1732152228,1732189860,19800,1256237,Shimla,200,2.35,
673f420f644efe42f45e0771,,74.8167,34.0833,800,,Clear,,clear sky,,01d,,stations,15.79,13.82,15.79,15.79,1016,15,1016,830,10000,0.9,245,0,1732175821,,,IN,1732153159,1732190058,19800,1255634,Srinagar,200,0.81,
673f420f644efe42f45e0772,,80.3565,16.5747,801,,Clouds,,few clouds,,02d,,stations,28.92,29.8,28.92,28.92,1011,52,1011,1006,10000,0.55,316,19,1732175975,1,9207,IN,1732149945,1732190612,19800,1266209,Amaravati,200,1.2,
673f420f644efe42f45e0773,,77.2311,28.6128,721,,Haze,,haze,,50d,,stations,25.09,24.59,25.09,25.09,1014,36,1014,988,1500,2.06,280,0,1732175963,1,9165,IN,1732151925,1732190132,19800,1261481,New Delhi,200,,
673f420f644efe42f45e0774,,72.8479,19.0144,711,,Smoke,,smoke,,50d,,stations,30.99,29.63,30.99,31.94,1011,29,1011,1011,3000,3.09,110,17,1732175700,1,9052,IN,1732151981,1732192181,19800,1275339,Mumbai,200,,
